Comment,Label
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,Neutral
i just watched Marley & Me...i cried so hard!,Negative
Take antibacterial to school to clean your hands when you cant go the loos,Neutral
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,Neutral
 haaaw..well i get out of class at 10:50..i hope i make it,Positive
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",Neutral
skype call with billie but my webcam dont work,Neutral
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",Positive
FML not having a car is prohibiting finding a job,Negative
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",Neutral
 I want to see David cook!!,Positive
 yeh me 2,Neutral
 learning tat the scenic way  din plan to go town but somehow was herded there?,Neutral
" i don`t want to do anything specific, i just want to see you and puppy!",Neutral
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,Negative
Toy Story 3 trailer premiered with Up. I need my computer back.,Neutral
ughh on the phone with HP!,Neutral
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',Neutral
 yay about breaking 200!,Positive
 bahah sadly I am not,Negative
 i always have those for my Champions League parties  Tis awesome,Positive
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",Positive
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,Neutral
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,Negative
might have to go back much earlier than expected. bye bye bay area,Neutral
"Playin City of Villains, wishin my buddies were playin with me.....",Positive
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",Positive
 riley hacked my twitter!  hahaha :],Neutral
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,Neutral
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,Positive
man im so sad school is ending  but then again high school might be better :O,Neutral
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",Positive
 you`re the absoute best,Positive
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,Neutral
My near daily exercise is starting to show results.,Neutral
 Welcome!,Positive
Bout to hit pmark then make one of my final meals wit the housemates..,Neutral
: you get to go home and i have to go to work,Neutral
voted for  on CMT.com,Neutral
"just got home from a nice party, just not tired yet",Positive
Now I have a sunburn,Negative
I have the Job  this is a nice day it can not be better,Positive
I wish I could go to #BEA this weekend.,Positive
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",Neutral
 love your books,Positive
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,Negative
Im Slowing on My Tweets..Cuase I Lost My Phone,Negative
 well thank your phone for me.,Positive
 why would they take a photo with stuffed animals?! that`s pretty funny,Positive
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,Neutral
tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,Positive
 Happy Mothers Day,Positive
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,Negative
is dreaming of the weekend... awake!,Neutral
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",Negative
 yay but you missed naptime,Neutral
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",Positive
just set up a new computer again. 15min. I love Norton Ghost.,Positive
Ahhh my mommie got me new sheets for my bed  so comfy,Positive
_celeste  finally some sleep in silence,Neutral
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,Neutral
is pretty dang tired. but chambers class is for napping.,Negative
i have to poop...   is hogging the shitter,Negative
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,Neutral
Happy muthath`s day to all moms!!! I salute you!,Positive
Hahaha! Alright  ..,Positive
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,Positive
 good to know   thanks,Positive
 what are you? flavor of the day?,Neutral
weathers let me down this morning...ugh!...hada gd nite tho!,Neutral
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,Neutral
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",Positive
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,Positive
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,Positive
"hate working when its sunny,boohoo",Negative
is ONLiNE  http://plurk.com/p/stjdg,Neutral
bundy. in 3 days.!!!! warm weather here i come!,Neutral
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,Negative
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,Neutral
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,Negative
_chick haha. I completely agree,Positive
"If we don`t pack, she can`t leave, right?",Neutral
 ****  lol....where u headed to?,Neutral
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,Positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",Negative
it`s nice to leave the office when the sun is still up,Positive
I will miss the soccer moms,Negative
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",Neutral
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,Neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",Neutral
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,Neutral
looking forward to body works today,Neutral
just watched yes man. bahaha. that movie is messed up,Negative
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,Negative
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",Negative
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,Neutral
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,Negative
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,Neutral
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,Positive
 woot!,Positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",Neutral
 ???    ?????? - http://bit.ly/nAcK2,Neutral
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",Neutral
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,Positive
Must head back to the office,Neutral
St joe is dirty.,Negative
http://twitpic.com/4w67k - Camping at black butte lake,Neutral
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",Neutral
I hate my life,Negative
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,Negative
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,Negative
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,Negative
crying real tears,Negative
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,Neutral
 Panchito`s burfday party tonight... wish you were here kiddo!,Positive
Back from town and my Mac crashed on me  but it`s better now,Neutral
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,Neutral
the best things in life are free  x,Positive
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,Positive
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,Negative
 that is a bummer,Negative
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,Neutral
http://twitpic.com/665jw The racoons ate our bread!,Negative
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,Positive
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",Neutral
No launch today. Teacher changed plans and we watched a stupid move about tesla,Negative
  it`s very pleasant. i sooo rarely just have time to kill...,Positive
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,Positive
__O lol but tiz a good song,Positive
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,Neutral
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",Negative
 what causes the frustration buddy?,Neutral
_Wright THANK YOU! 'Return of the Mack' is THE jam!,Positive
Ready for this saddenning depressing dullful upsetting dreadful weekend.,Negative
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,Negative
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",Positive
going to bed  cant take thiss any longeerr maan. [U],Negative
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,Positive
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,Neutral
Spent the last hour signing yearbooks. I`ll miss you guys!,Negative
And I just love every little thing about you...,Positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,Negative
" Hi Simon, let me know when it`s done",Neutral
Had an amazing night with my favorite lady friend,Positive
_Oyler Poor little woman with her smushed in head,Negative
is fixin to clean the house for my mom for mother`s day,Positive
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",Neutral
 Hey! That`s my school! I hate that place.,Negative
 i did i only got 3 stars on the pre wash then failed the rince,Negative
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,Positive
 follow me too,Neutral
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,Neutral
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,Negative
", goodnight",Positive
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",Negative
" but i do emily ahahha you scare me, so it would work",Negative
Now I need to change my monitor,Neutral
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",Neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,Neutral
should not have waled past the Quad! I want to be outside having fun.,Positive
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",Neutral
i think the food i ate made me sick.. i no feel so good,Negative
 eagerly anticipating twitpics,Neutral
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",Positive
Just wants to stay in bed all day but has to go to work instead  sux,Negative
chillen trying to figure this thing out gettin drunk,Positive
yay doctors  now interview then back 2 the doctor`s for blood work,Neutral
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,Positive
I`m siiiiiickkk  I dun feel good!!,Negative
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,Positive
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,Positive
_89 I feel so sorry for her  hope she dnt cry 2nd time,Negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,Negative
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",Positive
My Life Would Suck Without You - Kelly Clarkson,Negative
revising for exams,Neutral
" you should so host the next logies, i only laughed at your bit really",Positive
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,Neutral
__joy i feel like red lea now,Positive
 I`d love to but I think the trek from London would be a bit too much,Neutral
 hey hey,Neutral
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,Negative
Is miserable  i feel like im gona cry  sux!,Negative
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,Positive
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",Positive
" lol, get watching it again  hehe",Neutral
 Hope you did great - you certainly spent enough time studying.,Positive
 btw - downloaded iphone 3.0 sdk,Neutral
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,Negative
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",Negative
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",Neutral
Morning all! Have a GREAT DAY! Off to school I go,Positive
"now, in a weird mood  muahaz",Negative
 congrats! Photo of dre?,Positive
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",Positive
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",Positive
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,Neutral
" Oh, and a very good review",Positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,Negative
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,Negative
 its hilarious,Positive
 I love the guy that was standing behind me,Positive
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,Positive
lost my DC hat ..,Negative
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,Neutral
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",Neutral
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",Neutral
Browsing  find everything about university & interior design.,Neutral
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,Neutral
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,Neutral
 I am soo excited about your pasadena seminar...if only i can find the confermation email,Positive
Ugh I don`t feel well again all of a sudden,Negative
I want a new phone  I`ve seen too much cellphone commercials (,Negative
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,Negative
 http://twitpic.com/4vuuy - That`s so cool.,Positive
school. 39 days !!! so exited. Amazing premier ,Positive
  tis very useful indeed esp. for newbies like me!,Positive
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,Neutral
 it was just the handle tg,Neutral
backe backe... MUFFINS!!!,Neutral
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,Positive
lasttt mondayyy of classs,Neutral
 yup!  Now I can join in on the nin access fun!,Positive
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",Neutral
 unfair  I wanna go too.,Negative
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,Positive
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,Negative
" Aww, that`s sad.  I miss seeing you guys on the big screen.",Negative
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,Neutral
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",Negative
 Thank you so much phaoloo !!!!,Positive
 the hotel should be thankful,Positive
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",Negative
 rofl that`s what we like to hear,Positive
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",Negative
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,Negative
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,Neutral
"Change of plans, working inside bar tonight",Neutral
 thanks for following,Positive
" Well, good luck then.",Positive
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,Negative
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,Negative
Undervote is just going on  I`m all overalled up,Neutral
making german apple slice  nom nom nom,Positive
Looks like its another night at the office lol,Neutral
My tummy hurts,Negative
Got about 2 hours sleep.,Neutral
Anybody else experiencing painful slowdowns with facebook?,Negative
Lol..2 people in falcon..and boo one of them being becca,Neutral
i really need to earn money... so that i can watch the PCD concert,Neutral
The poor Pirate had out his last wisdom tooth and is looking really peaky.,Negative
Mozzer cancelled tonight by the looks of it.,Positive
"waiting for aaron to get into town, and then leave him for work. booo",Negative
morning tweat tweat twitter,Neutral
Headed home ... Charlie`s at the vet,Neutral
i wanna b maliks from taking the stage,Neutral
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],Positive
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",Negative
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,Negative
about to go to leeds shopping,Neutral
" Sadly, I can`t view that site due to region restrictions",Negative
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",Negative
Aly & AJ new album this summer. YAY!,Positive
_day26 ~ Awwwww have fun with the fam boo boo,Positive
@ lovelytrinkets I like the way you worded that about Rocky Road,Positive
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,Positive
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,Negative
I have nothing witty to say,Neutral
 me too.,Neutral
Hi ho  hi ho it`s off to work we go,Neutral
 Thanks for the hint.  http://tinyurl.com/chtx7e.,Positive
" u welcome babe, kill the show! Yuuupp!",Positive
" Hey, Candis.",Neutral
 I was never a good stereotypical teen,Negative
I love my Maitu. N she loves me. Happy mothers day mama!,Positive
 i am so sorry,Negative
i want to go to singapore but my mother seems not,Neutral
JB on the front of factor x!!!!! wooh contest timeee,Neutral
 so u aren`t going to be in Chicago,Neutral
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,Positive
So tired.,Negative
had a lovely breakfast with mum...yummy pancakes,Positive
 Yay! have fun,Positive
 Why thank you... Us Mami`s are bringin` sexy back...,Positive
 lucky! that`s awesome,Positive
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",Negative
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",Neutral
Oh is that time for real?,Neutral
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,Neutral
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",Positive
I misses my bed  so sleepy!,Negative
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",Positive
No TV and no internet make Catherine something something?,Neutral
Anyone have some advice??? I need it!!,Neutral
Just found mj mouse flats at DJs. Of course there are none left in my size,Negative
I`m dreading hearing even worse news tonight,Negative
"so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore",Neutral
haappy bank holiday  2 weeeeks. aah!,Positive
  I thought  was against licensing stores bc it takes away from the experience they want to provide,Neutral
_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.,Neutral
so I slept in a little...well a lot. whooops,Neutral
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,Positive
" Good night, Rob. Sleep well. Safe travels tomorrow!",Positive
 i know i suck.  my data plan is weak sauce.,Negative
" Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",Neutral
"  Bit of New Scientist, this weeks an last weeks, and Watership Down",Neutral
 dear oh dear.....,Negative
my monday running so fast!,Neutral
playing at my old school playground still the same except them lame **** got rid of the tire swing,Negative
happy mommah`s day to your moms  http://plurk.com/p/stqya,Positive
_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.,Neutral
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",Positive
 you`re surrounded by them! I have no official nieces/nephews yet,Neutral
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,Positive
 nope i have a fifth generation ipod classic  it likes to be dumb,Negative
 meetings are overrated.,Negative
 I love the smell of procrastination in the morning... oder so.,Positive
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,Negative
 I know.  I am definitely going to try and see Up this weekend.,Positive
 Nice!!!!!!!! I WILL be there,Positive
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,Negative
" lol that just totally made me laugh, which made my day",Positive
tonight was fun,Positive
 this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,Neutral
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,Positive
is on facebook,Neutral
I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...,Neutral
Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,Neutral
" http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!",Neutral
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",Negative
 Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',Neutral
"_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.",Neutral
Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!,Neutral
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,Positive
 one of our governors is one of the directors of the company,Neutral
no internet for a week or longer,Negative
Jesus Christ meadowhall could do with better air con! Too hot,Negative
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour,Neutral
 I sure she can,Positive
"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",Neutral
"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",Neutral
"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",Neutral
"Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills",Neutral
 i want to gooo,Positive
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,Negative
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,Positive
Ugh fun concert  screen cracked on phone again because it fell... =\,Negative
 if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,Neutral
"So happy, my VStudio shortcuts are backkk",Positive
 can`t wait to hear the evp! And cuuuute picture.,Positive
Headed to verizon. Praying that pinkberry is going to make it.,Positive
Awaiting reply from two projects. One cancelled.,Negative
